REGION,MARKET,BRM,BLDIMAGE,BRANDDIFFERENTIATOR,BRANDFAMILY,BRANDONMARKET,BRANDSUBFAMILY,BRANDSUBFAMILYGROUP,BRANDSUBFAMILYGROUPING,BRANDSUBFAMILYLINE,CHARINDICATOR,BRMID,INDICATOR,RTYPE,INTERNATIONALINDICATOR,ISREPLACEMENT,ISSTRATEGIC,ITEMSHAPE,ITEMSCODE,LATESTPERIODINDEX,LEN,LENCATEGORY,PRICECLASS,LOCALCLASS,MARKETEDBRAND,MINDICATOR,NCON,NPLLAUNCHDATE,NPLLAUNCHYEAR,PCKT,PRICECLASSON,TCLASS,RETAILPACKPRICE,SPECIALFLAVOR,TRCONTE,THICATEGORY,TIPCOLOR,TRACKINGSTATUS
REGION1,MARKET7,BRM36,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY12,BRANDONMARKET36,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60038893,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND36,MINDICATOR2,0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,15,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION1,MARKET7,BRM37,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY12,BRANDONMARKET37,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60040489,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,26,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND37,MINDICATOR2,0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,19.55,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION1,MARKET7,BRM38,BLDIMAGE9,BRANDDIFFERENTIATOR98,BRANDFAMILY12,BRANDONMARKET38,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60078730,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND38,MINDICATOR2,0,201409,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON2,TCLASS2,27,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION1,MARKET7,BRM58,BLDIMAGE9,BRANDDIFFERENTIATOR267,BRANDFAMILY12,BRANDONMARKET58,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60078732,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,40,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND58,MINDICATOR2,0,201409,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON2,TCLASS2,29.25,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION1,MARKET7,BRM73,BLDIMAGE9,BRANDDIFFERENTIATOR467,BRANDFAMILY12,BRANDONMARKET73,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60038898,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND73,MINDICATOR2,0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,15,SPECIALFLAVOR7,11,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION1,MARKET7,BRM74,BLDIMAGE9,BRANDDIFFERENTIATOR467,BRANDFAMILY12,BRANDONMARKET74,BRANDSUBFAMILY12,BRANDSUBFAMILYGROUP12,BRANDSUBFAMILYGROUPING12,BRANDSUBFAMILYLINE12,CHARINDICATOR2,60040491,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,26,12,84,LENCATEGORY2,PRICECLASS3,LOCALCLASS5,MARKETEDBRAND74,MINDICATOR2,0,201110,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON2,TCLASS2,19.55,SPECIALFLAVOR7,11,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION1,MARKET51,BRM492,BLDIMAGE2,BRANDDIFFERENTIATOR1,BRANDFAMILY42,BRANDONMARKET492,BRANDSUBFAMILY42,BRANDSUBFAMILYGROUP42,BRANDSUBFAMILYGROUPING42,BRANDSUBFAMILYLINE42,CHARINDICATOR1,50002391,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,99,LENCATEGORY1,PRICECLASS10,LOCALCLASS3,MARKETEDBRAND492,MINDICATOR2,1,201301,NPLLAUNCHYEAR6,PCKT28,PRICECLASSON3,TCLASS1,420,SPECIALFLAVOR7,12,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION1,MARKET51,BRM493,BLDIMAGE2,BRANDDIFFERENTIATOR86,BRANDFAMILY42,BRANDONMARKET493,BRANDSUBFAMILY42,BRANDSUBFAMILYGROUP42,BRANDSUBFAMILYGROUPING42,BRANDSUBFAMILYLINE42,CHARINDICATOR1,60076302,INDICATOR2,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS10,LOCALCLASS3,MARKETEDBRAND493,MINDICATOR2,0,201409,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON3,TCLASS1,420,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR6,TRACKINGSTATUS2
REGION1,MARKET51,BRM494,BLDIMAGE2,BRANDDIFFERENTIATOR88,BRANDFAMILY42,BRANDONMARKET494,BRANDSUBFAMILY42,BRANDSUBFAMILYGROUP42,BRANDSUBFAMILYGROUPING42,BRANDSUBFAMILYLINE42,CHARINDICATOR1,50066837,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,85,LENCATEGORY2,PRICECLASS10,LOCALCLASS5,MARKETEDBRAND494,MINDICATOR2,0,200911,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON3,TCLASS2,420,SPECIALFLAVOR7,6,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION1,MARKET82,BRM867,BLDIMAGE9,BRANDDIFFERENTIATOR547,BRANDFAMILY47,BRANDONMARKET867,BRANDSUBFAMILY106,BRANDSUBFAMILYGROUP51,BRANDSUBFAMILYGROUPING106,BRANDSUBFAMILYLINE54,CHARINDICATOR2,50064424,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS22,LOCALCLASS5,MARKETEDBRAND867,MINDICATOR2,0,200903,NPLLAUNCHYEAR2,PCKT11,PRICECLASSON2,TCLASS2,28.8,NA,0,THICATEGORY4,NA,TRACKINGSTATUS2
REGION1,MARKET86,BRM304,BLDIMAGE2,BRANDDIFFERENTIATOR334,BRANDFAMILY33,BRANDONMARKET304,BRANDSUBFAMILY33,BRANDSUBFAMILYGROUP33,BRANDSUBFAMILYGROUPING33,BRANDSUBFAMILYLINE33,CHARINDICATOR2,60055814,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS5,LOCALCLASS5,MARKETEDBRAND304,MINDICATOR2,0,201403,NPLLAUNCHYEAR7,PCKT28,PRICECLASSON2,TCLASS2,25.5,NA,0,THICATEGORY4,NA,TRACKINGSTATUS2
REGION1,MARKET86,BRM305,BLDIMAGE2,BRANDDIFFERENTIATOR591,BRANDFAMILY33,BRANDONMARKET305,BRANDSUBFAMILY33,BRANDSUBFAMILYGROUP33,BRANDSUBFAMILYGROUPING33,BRANDSUBFAMILYLINE33,CHARINDICATOR2,60099682,INDICATOR2,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS5,LOCALCLASS3,MARKETEDBRAND305,MINDICATOR1,0,201602,NPLLAUNCHYEAR9,PCKT21,PRICECLASSON2,TCLASS1,40,NA,0,THICATEGORY4,NA,TRACKINGSTATUS1
REGION1,MARKET86,BRM315,BLDIMAGE2,BRANDDIFFERENTIATOR258,BRANDFAMILY39,BRANDONMARKET315,BRANDSUBFAMILY39,BRANDSUBFAMILYGROUP39,BRANDSUBFAMILYGROUPING39,BRANDSUBFAMILYLINE39,CHARINDICATOR2,60064710,INDICATOR1,NA,INTERNATIONALINDICATOR2,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS19,LOCALCLASS3,MARKETEDBRAND315,MINDICATOR2,0,201312,NPLLAUNCHYEAR6,PCKT28,PRICECLASSON5,TCLASS1,30,NA,0,THICATEGORY4,NA,TRACKINGSTATUS2
REGION2,MARKET48,BRM737,BLDIMAGE2,BRANDDIFFERENTIATOR286,BRANDFAMILY45,BRANDONMARKET737,BRANDSUBFAMILY98,BRANDSUBFAMILYGROUP47,BRANDSUBFAMILYGROUPING98,BRANDSUBFAMILYLINE50,CHARINDICATOR2,60044419,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS16,LOCALCLASS10,MARKETEDBRAND737,MINDICATOR2,0,201204,NPLLAUNCHYEAR5,PCKT11,PRICECLASSON4,TCLASS3,31,NA,6,THICATEGORY3,NA,TRACKINGSTATUS2
REGION2,MARKET48,BRM815,BLDIMAGE2,BRANDDIFFERENTIATOR526,BRANDFAMILY45,BRANDONMARKET815,BRANDSUBFAMILY78,BRANDSUBFAMILYGROUP46,BRANDSUBFAMILYGROUPING78,BRANDSUBFAMILYLINE48,CHARINDICATOR2,50077039,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND815,MINDICATOR1,0,201105,NPLLAUNCHYEAR4,PCKT11,PRICECLASSON4,TCLASS2,31,NA,0,THICATEGORY4,NA,TRACKINGSTATUS2
REGION2,MARKET48,BRM937,BLDIMAGE2,BRANDDIFFERENTIATOR339,BRANDFAMILY53,BRANDONMARKET937,BRANDSUBFAMILY112,BRANDSUBFAMILYGROUP57,BRANDSUBFAMILYGROUPING112,BRANDSUBFAMILYLINE60,CHARINDICATOR2,60055734,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY1,PRICECLASS5,LOCALCLASS5,MARKETEDBRAND937,MINDICATOR2,0,201212,NPLLAUNCHYEAR5,PCKT21,PRICECLASSON2,TCLASS2,25,NA,0,THICATEGORY5,NA,TRACKINGSTATUS2
REGION2,MARKET50,BRM469,BLDIMAGE9,BRANDDIFFERENTIATOR501,BRANDFAMILY41,BRANDONMARKET469,BRANDSUBFAMILY41,BRANDSUBFAMILYGROUP41,BRANDSUBFAMILYGROUPING41,BRANDSUBFAMILYLINE41,CHARINDICATOR1,60079140,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,5,12,0,LENCATEGORY2,PRICECLASS7,LOCALCLASS3,MARKETEDBRAND469,MINDICATOR2,1.1,201502,NPLLAUNCHYEAR8,PCKT11,PRICECLASSON3,TCLASS1,150,NA,13,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS1
REGION2,MARKET89,BRM789,BLDIMAGE2,BRANDDIFFERENTIATOR445,BRANDFAMILY45,BRANDONMARKET789,BRANDSUBFAMILY57,BRANDSUBFAMILYGROUP45,BRANDSUBFAMILYGROUPING57,BRANDSUBFAMILYLINE45,CHARINDICATOR2,60063393,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS1,LOCALCLASS5,MARKETEDBRAND789,MINDICATOR2,0,201303,NPLLAUNCHYEAR6,PCKT12,PRICECLASSON1,TCLASS2,15,NA,6,THICATEGORY4,NA,TRACKINGSTATUS2
REGION2,MARKET89,BRM814,BLDIMAGE2,BRANDDIFFERENTIATOR515,BRANDFAMILY45,BRANDONMARKET814,BRANDSUBFAMILY96,BRANDSUBFAMILYGROUP47,BRANDSUBFAMILYGROUPING96,BRANDSUBFAMILYLINE50,CHARINDICATOR2,60072876,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS16,LOCALCLASS12,MARKETEDBRAND814,MINDICATOR2,0,201406,NPLLAUNCHYEAR7,PCKT24,PRICECLASSON4,TCLASS4,10,NA,4,THICATEGORY4,NA,TRACKINGSTATUS2
REGION2,MARKET89,BRM833,BLDIMAGE2,BRANDDIFFERENTIATOR573,BRANDFAMILY45,BRANDONMARKET833,BRANDSUBFAMILY98,BRANDSUBFAMILYGROUP47,BRANDSUBFAMILYGROUPING98,BRANDSUBFAMILYLINE50,CHARINDICATOR2,60078078,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,0,LENCATEGORY2,PRICECLASS16,LOCALCLASS12,MARKETEDBRAND833,MINDICATOR2,0,201406,NPLLAUNCHYEAR7,PCKT24,PRICECLASSON4,TCLASS4,10,NA,4,THICATEGORY3,NA,TRACKINGSTATUS2
REGION3,MARKET23,BRM1020,BLDIMAGE2,BRANDDIFFERENTIATOR22,BRANDFAMILY61,BRANDONMARKET1020,BRANDSUBFAMILY120,BRANDSUBFAMILYGROUP65,BRANDSUBFAMILYGROUPING120,BRANDSUBFAMILYLINE68,CHARINDICATOR2,50067174,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,97,LENCATEGORY1,PRICECLASS7,LOCALCLASS5,MARKETEDBRAND1020,MINDICATOR2,0.5,201005,NPLLAUNCHYEAR3,PCKT21,PRICECLASSON3,TCLASS2,21,NA,6,THICATEGORY5,TIPCOLOR7,TRACKINGSTATUS2
REGION3,MARKET23,BRM1079,BLDIMAGE2,BRANDDIFFERENTIATOR467,BRANDFAMILY61,BRANDONMARKET1079,BRANDSUBFAMILY120,BRANDSUBFAMILYGROUP65,BRANDSUBFAMILYGROUPING120,BRANDSUBFAMILYLINE68,CHARINDICATOR2,60049729,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,84,LENCATEGORY2,PRICECLASS7,LOCALCLASS3,MARKETEDBRAND1079,MINDICATOR2,0.6,201201,NPLLAUNCHYEAR5,PCKT21,PRICECLASSON3,TCLASS1,22,NA,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION3,MARKET23,BRM1168,BLDIMAGE2,BRANDDIFFERENTIATOR7,BRANDFAMILY74,BRANDONMARKET1168,BRANDSUBFAMILY133,BRANDSUBFAMILYGROUP78,BRANDSUBFAMILYGROUPING133,BRANDSUBFAMILYLINE81,CHARINDICATOR2,50061256,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,100,LENCATEGORY1,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND1168,MINDICATOR2,0.5,200902,NPLLAUNCHYEAR2,PCKT14,PRICECLASSON4,TCLASS2,27,NA,6,THICATEGORY5,TIPCOLOR5,TRACKINGSTATUS2
REGION3,MARKET49,BRM156,BLDIMAGE2,BRANDDIFFERENTIATOR150,BRANDFAMILY17,BRANDONMARKET156,BRANDSUBFAMILY17,BRANDSUBFAMILYGROUP17,BRANDSUBFAMILYGROUPING17,BRANDSUBFAMILYLINE17,CHARINDICATOR2,50057457,INDICATOR1,RTYPE3,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,0,LENCATEGORY2,PRICECLASS5,LOCALCLASS5,MARKETEDBRAND156,MINDICATOR2,0.6,200801,NPLLAUNCHYEAR1,PCKT28,PRICECLASSON2,TCLASS2,4.4,SPECIALFLAVOR7,8,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION3,MARKET49,BRM161,BLDIMAGE2,BRANDDIFFERENTIATOR153,BRANDFAMILY17,BRANDONMARKET161,BRANDSUBFAMILY17,BRANDSUBFAMILYGROUP17,BRANDSUBFAMILYGROUPING17,BRANDSUBFAMILYLINE17,CHARINDICATOR2,50053205,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,0,LENCATEGORY2,PRICECLASS5,LOCALCLASS3,MARKETEDBRAND161,MINDICATOR2,0.8,200801,NPLLAUNCHYEAR1,PCKT28,PRICECLASSON2,TCLASS1,4.4,SPECIALFLAVOR7,10,THICATEGORY4,TIPCOLOR1,TRACKINGSTATUS2
REGION3,MARKET49,BRM209,BLDIMAGE2,BRANDDIFFERENTIATOR467,BRANDFAMILY17,BRANDONMARKET209,BRANDSUBFAMILY17,BRANDSUBFAMILYGROUP17,BRANDSUBFAMILYGROUPING17,BRANDSUBFAMILYLINE17,CHARINDICATOR2,50077043,INDICATOR1,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,20,12,100,LENCATEGORY1,PRICECLASS19,LOCALCLASS3,MARKETEDBRAND209,MINDICATOR2,0,201410,NPLLAUNCHYEAR7,PCKT11,PRICECLASSON5,TCLASS1,4.1,SPECIALFLAVOR7,10,THICATEGORY4,NA,TRACKINGSTATUS2
REGION4,MARKET30,BRM611,BLDIMAGE2,BRANDDIFFERENTIATOR84,BRANDFAMILY45,BRANDONMARKET611,BRANDSUBFAMILY63,BRANDSUBFAMILYGROUP46,BRANDSUBFAMILYGROUPING63,BRANDSUBFAMILYLINE48,CHARINDICATOR2,50063481,INDICATOR1,RTYPE3,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,ITEMSHAPE1,20,12,85,LENCATEGORY2,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND611,MINDICATOR1,0.7,201006,NPLLAUNCHYEAR3,PCKT11,PRICECLASSON4,TCLASS2,2.25,NA,8,THICATEGORY4,NA,TRACKINGSTATUS2
REGION4,MARKET30,BRM621,BLDIMAGE2,BRANDDIFFERENTIATOR106,BRANDFAMILY45,BRANDONMARKET621,BRANDSUBFAMILY66,BRANDSUBFAMILYGROUP46,BRANDSUBFAMILYGROUPING66,BRANDSUBFAMILYLINE48,CHARINDICATOR2,60080398,INDICATOR2,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,10,12,0,LENCATEGORY2,PRICECLASS16,LOCALCLASS5,MARKETEDBRAND621,MINDICATOR1,0,201505,NPLLAUNCHYEAR8,PCKT11,PRICECLASSON4,TCLASS2,1.55,NA,0,THICATEGORY4,NA,TRACKINGSTATUS1
REGION4,MARKET30,BRM622,BLDIMAGE2,BRANDDIFFERENTIATOR106,BRANDFAMILY45,BRANDONMARKET622,BRANDSUBFAMILY66,BRANDSUBFAMILYGROUP46,BRANDSUBFAMILYGROUPING66,BRANDSUBFAMILYLINE48,CHARINDICATOR2,60071997,INDICATOR2,NA,INTERNATIONALINDICATOR1,ISREPLACEMENT1,ISSTRATEGIC1,NA,14,12,0,LENCATEGORY2,PRICECLASS1,LOCALCLASS5,MARKETEDBRAND622,MINDICATOR1,0,201311,NPLLAUNCHYEAR6,PCKT11,PRICECLASSON4,TCLASS2,2,NA,0,THICATEGORY4,NA,TRACKINGSTATUS2